agency,site_num,date,discharge_cfs,height_ft
USGS,6741510,2013-09-09 00:00,67,1.57
USGS,6741510,2013-09-09 00:15,68,1.58
USGS,6741510,2013-09-09 00:30,67,1.57
USGS,6741510,2013-09-09 00:45,67,1.57
USGS,6741510,2013-09-09 01:00,67,1.57
USGS,6741510,2013-09-09 01:15,67,1.57
USGS,6741510,2013-09-09 01:30,68,1.58
USGS,6741510,2013-09-09 01:45,67,1.57
USGS,6741510,2013-09-09 02:00,69,1.59
USGS,6741510,2013-09-09 02:15,68,1.58
USGS,6741510,2013-09-09 02:30,69,1.59
USGS,6741510,2013-09-09 02:45,69,1.59
USGS,6741510,2013-09-09 03:00,69,1.59
USGS,6741510,2013-09-09 03:15,69,1.59
USGS,6741510,2013-09-09 03:30,70,1.6
USGS,6741510,2013-09-09 03:45,70,1.6
USGS,6741510,2013-09-09 04:00,70,1.6
USGS,6741510,2013-09-09 04:15,71,1.61
USGS,6741510,2013-09-09 04:30,71,1.61
USGS,6741510,2013-09-09 04:45,71,1.61
USGS,6741510,2013-09-09 05:00,71,1.61
USGS,6741510,2013-09-09 05:15,70,1.6
USGS,6741510,2013-09-09 05:30,71,1.61
USGS,6741510,2013-09-09 05:45,70,1.6
USGS,6741510,2013-09-09 06:00,71,1.61
USGS,6741510,2013-09-09 06:15,71,1.61
USGS,6741510,2013-09-09 06:30,71,1.61
USGS,6741510,2013-09-09 06:45,71,1.61
USGS,6741510,2013-09-09 07:00,71,1.61
USGS,6741510,2013-09-09 07:15,70,1.6
USGS,6741510,2013-09-09 07:30,71,1.61
USGS,6741510,2013-09-09 07:45,72,1.62
USGS,6741510,2013-09-09 08:00,71,1.61
USGS,6741510,2013-09-09 08:15,75,1.64
USGS,6741510,2013-09-09 08:30,77,1.66
USGS,6741510,2013-09-09 08:45,78,1.67
USGS,6741510,2013-09-09 09:00,77,1.66
USGS,6741510,2013-09-09 09:15,78,1.67
USGS,6741510,2013-09-09 09:30,77,1.66
USGS,6741510,2013-09-09 09:45,77,1.66
USGS,6741510,2013-09-09 10:00,77,1.66
USGS,6741510,2013-09-09 10:15,77,1.66
USGS,6741510,2013-09-09 10:30,76,1.65
USGS,6741510,2013-09-09 10:45,76,1.65
USGS,6741510,2013-09-09 11:00,76,1.65
USGS,6741510,2013-09-09 11:15,75,1.64
USGS,6741510,2013-09-09 11:30,72,1.62
USGS,6741510,2013-09-09 11:45,71,1.61
USGS,6741510,2013-09-09 12:00,69,1.59
USGS,6741510,2013-09-09 12:15,67,1.57
USGS,6741510,2013-09-09 12:30,66,1.56
USGS,6741510,2013-09-09 12:45,63,1.54
USGS,6741510,2013-09-09 13:00,60,1.51
USGS,6741510,2013-09-09 13:15,58,1.49
USGS,6741510,2013-09-09 13:30,56,1.47
USGS,6741510,2013-09-09 13:45,54,1.45
USGS,6741510,2013-09-09 14:00,52,1.43
USGS,6741510,2013-09-09 14:15,51,1.41
USGS,6741510,2013-09-09 14:30,50,1.4
USGS,6741510,2013-09-09 14:45,48,1.38
USGS,6741510,2013-09-09 15:00,48,1.38
USGS,6741510,2013-09-09 15:15,47,1.37
USGS,6741510,2013-09-09 15:30,48,1.38
USGS,6741510,2013-09-09 15:45,48,1.38
USGS,6741510,2013-09-09 16:00,51,1.41
USGS,6741510,2013-09-09 16:15,65,1.55
USGS,6741510,2013-09-09 16:30,66,1.56
USGS,6741510,2013-09-09 16:45,58,1.49
USGS,6741510,2013-09-09 17:00,53,1.44
USGS,6741510,2013-09-09 17:15,52,1.42
USGS,6741510,2013-09-09 17:30,51,1.41
USGS,6741510,2013-09-09 17:45,49,1.39
USGS,6741510,2013-09-09 18:00,49,1.39
USGS,6741510,2013-09-09 18:15,49,1.39
USGS,6741510,2013-09-09 18:30,50,1.4
USGS,6741510,2013-09-09 18:45,49,1.39
USGS,6741510,2013-09-09 19:00,49,1.39
USGS,6741510,2013-09-09 19:15,49,1.39
USGS,6741510,2013-09-09 19:30,48,1.38
USGS,6741510,2013-09-09 19:45,48,1.38
USGS,6741510,2013-09-09 20:00,48,1.38
USGS,6741510,2013-09-09 20:15,48,1.38
USGS,6741510,2013-09-09 20:30,48,1.38
USGS,6741510,2013-09-09 20:45,49,1.39
USGS,6741510,2013-09-09 21:00,49,1.39
USGS,6741510,2013-09-09 21:15,52,1.42
USGS,6741510,2013-09-09 21:30,56,1.47
USGS,6741510,2013-09-09 21:45,71,1.61
USGS,6741510,2013-09-09 22:00,76,1.65
USGS,6741510,2013-09-09 22:15,72,1.62
USGS,6741510,2013-09-09 22:30,70,1.6
USGS,6741510,2013-09-09 22:45,67,1.57
USGS,6741510,2013-09-09 23:00,67,1.57
USGS,6741510,2013-09-09 23:15,66,1.56
USGS,6741510,2013-09-09 23:30,65,1.55
USGS,6741510,2013-09-09 23:45,66,1.56
USGS,6741510,2013-09-10 00:00,68,1.58
USGS,6741510,2013-09-10 00:15,78,1.67
USGS,6741510,2013-09-10 00:30,83,1.71
USGS,6741510,2013-09-10 00:45,78,1.67
USGS,6741510,2013-09-10 01:00,75,1.64
USGS,6741510,2013-09-10 01:15,71,1.61
USGS,6741510,2013-09-10 01:30,71,1.61
USGS,6741510,2013-09-10 01:45,70,1.6
USGS,6741510,2013-09-10 02:00,70,1.6
USGS,6741510,2013-09-10 02:15,70,1.6
USGS,6741510,2013-09-10 02:30,70,1.6
USGS,6741510,2013-09-10 02:45,69,1.59
USGS,6741510,2013-09-10 03:00,71,1.61
USGS,6741510,2013-09-10 03:15,70,1.6
USGS,6741510,2013-09-10 03:30,69,1.59
USGS,6741510,2013-09-10 03:45,70,1.6
USGS,6741510,2013-09-10 04:00,71,1.61
USGS,6741510,2013-09-10 04:15,74,1.63
USGS,6741510,2013-09-10 04:30,74,1.63
USGS,6741510,2013-09-10 04:45,74,1.63
USGS,6741510,2013-09-10 05:00,74,1.63
USGS,6741510,2013-09-10 05:15,75,1.64
USGS,6741510,2013-09-10 05:30,74,1.63
USGS,6741510,2013-09-10 05:45,74,1.63
USGS,6741510,2013-09-10 06:00,74,1.63
USGS,6741510,2013-09-10 06:15,72,1.62
USGS,6741510,2013-09-10 06:30,72,1.62
USGS,6741510,2013-09-10 06:45,72,1.62
USGS,6741510,2013-09-10 07:00,71,1.61
USGS,6741510,2013-09-10 07:15,71,1.61
USGS,6741510,2013-09-10 07:30,70,1.6
USGS,6741510,2013-09-10 07:45,69,1.59
USGS,6741510,2013-09-10 08:00,69,1.59
USGS,6741510,2013-09-10 08:15,67,1.57
USGS,6741510,2013-09-10 08:30,66,1.56
USGS,6741510,2013-09-10 08:45,66,1.56
USGS,6741510,2013-09-10 09:00,66,1.56
USGS,6741510,2013-09-10 09:15,66,1.56
USGS,6741510,2013-09-10 09:30,65,1.55
USGS,6741510,2013-09-10 09:45,66,1.56
USGS,6741510,2013-09-10 10:00,66,1.56
USGS,6741510,2013-09-10 10:15,66,1.56
USGS,6741510,2013-09-10 10:30,66,1.56
